area,date,description,price,size
 (Bay Ridge),1/13/2020 13:07,One Bed Apt in an Elevator Building,"$1,600 ","1br -
                    600ft"
 (Williamsburg @ Montrose L train),1/13/2020 13:06,Beautiful Bright Williamsburg 1 Bed w/ Gym and Laundry! No Fee,"$2,940 ",1br -
 (Bushwick @ Gates J and Z trains),1/13/2020 13:05,"Renovated 5 Bed, 3 Floor Bushwick Townhouse w/Backyard + Laundry!","$5,000 ",5br -
 (Bushwick @ Wilson L train stop),1/13/2020 13:04,Great Deal! Just Renovated Bushwick 1 Bedroom No Fee,"$2,050 ",1br -
" (WILLIAMSBURG__""L"" MORGAN__J & M FLUSHING STOP_______)",1/13/2020 12:55,"__""OVER SIZED""__""BRAND NEW""___  ALL___OPEN__""LOFT"" ___NO FEE__________","$3,799 ",
 (bay ridge),1/13/2020 12:54,1 bed top floor gas included rent stable;1bedroom w terrace shore 2500,"$1,700 ","1br -
                    900ft"
 (BAY RIDGE BROOKLYN),1/13/2020 12:51,2 BDRM PRIME LOCATION,"$1,875 ",2br -
" (Gravesend, Brooklyn)",1/13/2020 12:49,"Gravesend, 2 Bed/1  Bath Immediate DSJ 718 266-3700","$2,075 ",2br -
 (Bedstuy @ Gates JZ),1/13/2020 12:47,No fee! Amazing 3 bed in beautiful Bedstuy pre-war walk-up!,"$2,265 ",3br -
 (Gravesend),1/13/2020 12:46,"Gravesend, Immediate Studio for Rent 718 266-3700","$1,495 ",300ft
 (Crown Heights),1/13/2020 12:33,"SPACIOUS SUNNY 2 BEDROOM WITH DINING 3,4 TRAINS UTICA AVENUE","$2,250 ",1br -
 (Bushwick @ Gates JZ),1/13/2020 12:32,Freshly renovated Bushwick townhouse_Full building + Yard + Laundry!,"$5,499 ",5br -
 (R at Bay Ridge Ave),1/13/2020 12:31,Beautiful 2 Bedroom Duplex in the heart of Bay Ridge!!,"$2,499 ","2br -
                    750ft"
" (Williamsburg, Brooklyn)",1/13/2020 12:27,Furnished 2BR Penthouse With Amazing Views,"$4,800 ",2br -
" (Brooklyn, NY)",1/13/2020 12:27,STUDIO APARTMENT,"$1,550 ","1br -
                    650ft"
 (90's),1/14/2020 15:09,Dyker golf course,"$1,695 ",1br -
" (Eastern Parkway @ Nostrand 3 & President 2,5 Trains)",1/14/2020 15:08,Beautiful Prewar Apartment in Prime Location for Great Price - NO FEE!,"$2,950 ",3br -
 (Prospect Park/Lefferts Gardens),1/14/2020 15:05,!^WOW^!SMOKING HOT LOCATION*LARGE STUDIO!*SEPERATE KITCHEN*PARK*TRAINS,"$1,350 ",
 (90'S),1/14/2020 15:04,BAY RIDGE,"$1,650 ",1br -
 (BUSHWICK),1/14/2020 15:00,Renovated 2 bed 1 bath in 19th century church! Laundry + Amenities!,"$2,842 ",2br -
" (@ Eastern Parkway - Nostrand 3, President 2 & 5 trains)",1/14/2020 14:59,Sunny Spacious 4BR in Prime Location Near Trains and Prospect Park,"$3,150 ",4br -
 (80'S),1/14/2020 14:56,BAY RIDGE,"$1,700 ",1br -
 (Downtown Brooklyn),1/14/2020 14:55,Beautiful No Fee 1 Bed 1 Bath w/ Pool & Amazing Views! Near Train w/ D,"$3,650 ","1br -
                    700ft"
 (Williamsburg),1/14/2020 14:53,Amazing No Fee 1 Bedroom 1 Bath & w/ Amazing Views Rooftop & Gym!,"$3,675 ","1br -
                    730ft"
 (Williamsburg),1/14/2020 14:51,Beautiful No Fee 3 Bed 2 Bath in Prime Williamsburg New Development,"$6,000 ",3br -
 (Bay Ridge),1/14/2020 14:51,Beautiful 2 Bedroom Apartment in Bay Ridge!,"$1,750 ",2br -
 (Fort Greene),1/14/2020 14:47,Studio 1 Bath NO FEE! Downtown Brooklyn 24 Hour Doorman w/ Amenities,"$2,795 ",650ft
 (60'S),1/14/2020 14:46,BENSONHURST,"$1,650 ",1br -
 (Bushwick),1/14/2020 14:39,. Spacious renovated 2 bedroom steps to the JMZ,"$2,400 ",2br -
 (1055 Dean Street),1/14/2020 14:37,Cozy Crown Heights Apartment! ^^NO FEE^^,"$3,785 ",4br -
 (bushwick),1/14/2020 14:34,Stunning 1 bed in Bushwick loft Building!! No Fee,"$2,500 ",1br -
 (Park Slope),1/14/2020 14:32,4 bedroom with 3 full bathrooms prime Park slope,"$5,690 ",4br -
 (Ocean Hill),1/14/2020 14:31,"Spacious 4 bedroom, Bright, price is cheap to rent quick","$2,700 ",4br -
,1/14/2020 14:25,NO FEE Beautiful Newly Renovated Apartment GREAT VIEWS 👀👀,"$2,500 ",1br -
 (Bushwick),1/14/2020 14:22,Stunning 3 Bed in Bushwick whole floor and renovated!!,"$2,945 ",2br -
 (Manhattan Beach/sheepshead bay),1/14/2020 14:21,Manhattan Beach 3bedrooms 1.5 baths with parking and backyard,"$2,900 ","3br -
                    1500ft"
 (Bed-Stuy),1/14/2020 14:18,Sunny 3BR 1.5BA in Bed-Stuy,"$2,750 ",3br -
 (Crown Heights),1/14/2020 14:15,Beautiful 3 Bedrooms in Great Location,"$3,195 ",3br -
 (CROWN/PROSPECT HEIGHTS),1/14/2020 14:12,Act fast! 2 Level Studio gem! Best location! H+HW included!,"$1,899 ",
 (Long Island City),1/14/2020 14:08,Long Island City Luxury 3 bed 2 Bath Penthouse Short term ok! Pool/,"$6,214 ",3br -
 (Greenpoint @ Nassau Ave G),1/14/2020 14:07,AMAZING DEAL! Spacious 3 Bedroom/1 Bath,"$4,249 ",3br -
 (Bayridge Bay ridge),1/14/2020 13:57,"Two Bedroom duplex, washer and dryer in unit, No broker fee","$2,500 ",2br -
 (Brooklyn sheepshead bay),1/14/2020 13:56,3 bedrooms 1 bath fully renovated sheepshead bay,"$2,800 ","3br -
                    1300ft"
 (Brooklyn),1/14/2020 13:54,**____!!__HUGE__!!____Two__Bedroom__Apt__+__Extra Room__BAY RIDGE___**,"$2,200 ","2br -
                    1000ft"
 (Brooklyn),1/14/2020 13:52,Spacious 4BR 2 Full Bath in Prime Flatbush,"$2,518 ",4br -
 (_______Greenwood Heights_____Greenwood Height_____Greenwood),1/14/2020 13:50,***_____!!__HUGE__!!____TRUE___One__Bedroom__Apt__+__Extra-Room____***,"$2,200 ","1br -
                    900ft"
 (________Sunset Park_____Sunset Park_____Sunset Park______),1/14/2020 13:47,***_____!!_NO FEE_!!______Two___Bedroom___Apartment___SUNSET PARK__***,"$2,100 ","2br -
                    900ft"
 (_____________BUSHWICK_____BUSHWICK____BUSHWICK______________),1/14/2020 13:46,***____!!__HUGE__!!____Two__Bedroom__&__Two__Bathroom__Apartment____**,"$3,000 ","2br -
                    900ft"
 (BEDSTUY / BEDFORD STUYVESANT),1/14/2020 13:44,"BEDSTUY STUDIO, LARGE AND RENOVATED, SHOWINGS TONIGHT, WONT LAST A/C","$1,750 ",
 (________Sunset Park_____Sunset Park_____Sunset Park______),1/14/2020 13:38,***_____!!_NO FEE_!!______ONE___Bedroom___Apartment___SUNSET PARK__***,"$1,850 ","1br -
                    750ft"
 (Downtown Brooklyn),1/14/2020 13:35,___________~ LUXURY STUDIO ~________________/ / DOWNTOWN BROOKLYN \ \,"$2,195 ",
 (______BAY RIDGE________BAY RIDGE_______BAY RIDGE__________),1/14/2020 13:34,***______!!_NO FEE_!!_____TRUE____One__Bedroom__Apt____BAY RIDGE___***,"$1,950 ","1br -
                    650ft"
 (west midwood / flatbush),1/14/2020 13:34,"Large 4 bedroom, dishwasher, AC/Heat units, 2 & 5 train","$2,975 ",4br -
 (Park Slope),1/14/2020 13:34,Charming one bedroom in Park Slope - No broker fee,"$2,400 ",1br -
 (stuyvesant heights / bedstuy),1/14/2020 13:32,"1br - STUNNER IN STUYVESANT HEIGHTS, DISHWASHER, VIDEO AVAILABLE TXT A","$1,999 ",1br -
 (621 Avenue Z),1/14/2020 13:31,1 Bedroom Rental in Elevator Building! NO SECURITY DEPOSIT!,"$1,779 ","1br -
                    625ft"
 (______Prospect Park________Prospect Park______Prospect park_),1/14/2020 13:30,**______!!_BRIGHT_&_NEW _!!_____TWO_Bedroom_Apt____Prospect Park____**,"$2,500 ","2br -
                    700ft"
 (CROWN HEIGHTS),1/14/2020 13:29,* CROWN HEIGHTS * 1BR HIGH END LUXURY * 345 TRAINS * NO FEE * ELEVATOR,"$2,233 ","1br -
                    700ft"
 (PROSPECT HEIGHTS / CROWN HEIGHTS),1/14/2020 13:28,"1 BED 1.5 BATH DUPLEX, 2/3/4/5 SUBWAYS PRICED TO RENT, ROOF DECK","$2,320 ",1br -
 (Sheepshead Bay),1/14/2020 13:27,OPEN HOUSE! Large 2 Bedroom/1.5 Baths Rental with No Security Deposit!,"$2,199 ","2br -
                    950ft"
 (Bushwick),1/14/2020 13:18,What's good Bushwick  = 2 Bed/2 Bath,"$2,700 ",2br -
 (BUSHWICK),1/14/2020 13:12,* BUSHWICK * NEW 2BR 1.5BA DPLX WITH SHARED YARD * NO FEE * J L TRAINS,"$2,995 ","2br -
                    1300ft"
 (South Slope),1/14/2020 13:08,⎷ ⎛HUGE 3 BEDROOM APARTMENT WITH LARGE PRIVATE YARD AND W/D HOOKUPS,"$3,350 ","3br -
                    1500ft"
 (Bushwick),1/14/2020 13:01,Large Duplex - 2 bedrooms and huge finish basement,"$2,995 ",2br -
 (Brownsville),1/14/2020 13:00,Renovated 2 bed Train 1 min walk,"$1,800 ",
 (Crownheights),1/14/2020 13:00,Spacious bedrooms with lots of natural sun light,"$2,199 ",2br -
 (Bushwick),1/14/2020 12:57,* Bushwick * Renovated 2Br High end * near trains J L * No fee * 1,"$2,495 ","2br -
                    850ft"
 (brooklyn heights),1/14/2020 12:50,Spcious 1 bedroom - Barclay's center,"$2,700 ",1br -
 (crown heights),1/14/2020 12:50,Beautifully Renovated LARGE 1 bedroom apartment in PRIME Crown Heights,"$1,995 ",1br -
 (Fort greene),1/14/2020 12:42,Charming 2 Bed 1 Bath in a Well Maintained Building - Navy Yard,"$1,850 ",2br -
 (Prospect Park South / Flatbush / Ditmas Park),1/14/2020 12:29,Large 3BR w Washer & Dryer in Elevator Bldg Close to Park & B/Q Trains,"$2,695 ",3br -
,1/14/2020 12:15,OPEN HOUSE APPTS💎💎Brownstone Gem in Heart of Bedstuy💎💎GREAT PRICE,"$2,050 ",1br -
 (Williamburg),1/14/2020 12:15,1BR-full service building w/GYM/POOL/SPA,"$2,600 ","1br -
                    520ft"
 (Prospect Park South / Flatbush / Ditmas Park),1/14/2020 12:15,Large 2BR w Dishwasher on Top Floor Close to Prospect Park & B/Q Train,"$2,483 ",2br -
 (Prospect Heights),1/14/2020 12:13,Spacious luxury one-bedroom in doorman building - March 1,"$3,081 ",700ft
 (Brooklyn),1/14/2020 12:06,Beautiful Spacious 2 Bedroom Apartment In Gravesend,"$1,950 ",2br -
 (Prospect Park South / PLG),1/14/2020 12:03,Large & Renovated 1BR Right By Prospect Park & Q Train PRIME Location!,"$2,250 ",1br -
 (Crown Heights),1/14/2020 12:03,LARGE 2 Bed w/ Washer & Dryer Close to Franklin Ave in Crown Heights,"$2,495 ",2br -
 (Crown Heights / PLG),1/14/2020 12:02,"Large 1BR w/ Dishwasher Close to Park, Franklin Ave & 2/3/4/5 Trains","$1,995 ",1br -
 (Kensington / Ditmas Park / Prospect Park),1/14/2020 12:02,Gorgeous 1 bedroom 1 bath with Private balcony in a LUXURY building,"$2,295 ",1br -
 (Crown Heights),1/14/2020 12:02,Large 3BR in Gym+BikeRoom+Laundry+Elevator Bldg Close to 2/3/4 Trains,"$2,900 ",3br -
 (BROOKLYN),1/14/2020 11:40,HUGE--NO FEE--WASHER/ DRYER IN UNIT-ELEVATOR,"$2,750 ",3br -
 (Flatbush/Ditmas Park Vicinity),1/14/2020 11:28,"BRAND NEW BRIGHT & AIRY 4 BEDROOM 2 BATH STEPS FROM PROSPECT PARK Q,B","$2,660 ",4br -
 (Downtown Brooklyn),1/14/2020 11:24,1 bedroom @ The Addison 2/1,"$3,050 ",1br -
 (Midwood/ Ocean Pkway/ Avenue W vic.),1/14/2020 11:22,PRICE DROP-For JAN. ONLY- NO FEE-Large/3 Bedroom/Owner-917-410-0315,"$2,200 ","3br -
                    1500ft"
 (Sheepshead Bay),1/14/2020 11:09,"Sheepshead Bay, 2 Bed/1.5 Bath OPEN HOUSE 1/15 DSJ Realty 718 266-3700","$2,299 ","2br -
                    950ft"
 (Crown Heights),1/14/2020 11:07,NO FEE--MASSIVE 5 bed/5bath BROWNSTONE--ROOF-DECK,"$8,450 ",5br -
 (Flatbush/Ditmas Park Vicinity),1/14/2020 11:06,BRAND NEW BRIGHT & AIRY 3 BEDROOMS 2 BATH STEPS FROM PROSPECT PARK Q&B,"$2,519 ",3br -
 (Crown Heights/Eastern Parkway),1/14/2020 11:02,!^SMOKING HOT^!PRIME LOCATION!LARGE 2 BED*UNDERPRICED*NEW RENO*STEAL!!,"$1,895 ",2br -
 (Prospect Park/Lefferts Gardens),1/14/2020 11:02,!^SMOKING HOT^!*HUGE 3 BED 2 BATH*DISHWASHER*SUNNY!*LOCATION!*WOW!!!!!,"$2,495 ",3br -
 (PROSPECT HEIGHTS/PARK SLOPE),1/14/2020 11:01,!^SMOKING HOT^!*BIG UNDER PRICED 2 BED*DISHWASHER*TOP FLOOR*GRAND ARMY,"$2,495 ",2br -
 (Gravesend),1/14/2020 11:01,"Gravesend, Immediate Studio for Rent 718 266-3700","$1,495 ",300ft
 (Bed-Stuy @ Rockaway C Train | Chauncey J/Z),1/14/2020 11:00,Bright 3 Bedroom with Laundry & Dishwasher | NO FEE,"$2,495 ",3br -
 (BROOKLYN),1/14/2020 11:00,*NO FEE*NEWLY RENOVATED*SPACIOUS ONE BEDROOM* HEART OF MIDWOOD,"$1,850 ",1br -
 (Brooklyn),1/14/2020 10:59,*NO FEE*PERFECT LOCATION FOR TRANSPORT*Q LINE*ELEVATOR,"$1,795 ",1br -
 (Prospect Heights),1/14/2020 10:57,"BRAND NEW BRIGHT AND AIRY 2 BR 1 BLOCK FROM GRAND ARMY PLAZA 2,3","$2,500 ",2br -
" (Gravesend, Brooklyn)",1/14/2020 10:57,"Gravesend, 2 Bed/1  Bath Immediate DSJ 718 266-3700","$2,075 ",2br -
" (Marine Park, Brooklyn)",1/14/2020 10:56,"Marine Park, 1 Bed OPEN HOUSE  call  DSJ Realty 718 266-3700","$1,799 ",1br -
 (Brooklyn Heights),1/14/2020 10:52,HUGE 1 BEDROOM / 1.5 BATH ON THE 17TH FLOOR WITH SPECTACULAR VIEWS,"$4,485 ",1br -
 (Bedstuy/ Clinton hill),1/14/2020 10:52,Stunning Renovated 2 bedrooms in a Great Location,"$2,640 ",2br -
 (Greenpoint),1/14/2020 10:49,"Massive 2 bed/2bath Duplex PRIVATE backyard, Laundry","$3,750 ",2br -
 (Crown Heights),1/14/2020 10:35,NO FEE--Duplex 2 bed/ 2 bath--$2990--MASSIVE,"$2,990 ",2br -
 (Brooklyn),1/14/2020 10:20,🔥NO FEE🔥A/C/J/L/J Trains🔥Laundry 🔥GARDEN 🔥CALL/TEXT,"$2,156 ",2br -
 (Old Mill Basin),1/14/2020 10:19,Large 3br 2 baths apartment all utilities included,"$2,300 ","3br -
                    1250ft"
 (Crown Heights),1/14/2020 10:19,@@@Gut 4 Bedroom 2 Bathroom Renovated APT@@@,"$3,300 ",4br -
 (Bushwick),1/14/2020 10:17,Giant Loft in Prime Bushwick-- No Fee!!,"$1,799 ",
 (Williamsburg),1/14/2020 10:08,Williamsburg 2 Bed!! No Fee ASAP Move H/Hw Inc,"$2,440 ",2br -
 (bedford stuyvesant),1/14/2020 10:08,Amazing One Bedroom * Bright And Sunny *Very Convenient Area* Feb 1st,"$1,800 ",1br -
 (Williamsburg),1/14/2020 10:04,Stunning Williamsburg Loft!! NO Fee ASAP Move!,"$3,550 ",
 (East Flatbush),1/14/2020 9:25,NEWLY RENOVATED LARGE 2 BEDROOM APT,"$1,800 ",2br -
 (Bushwick),1/14/2020 8:31,"STEPS AWAY FROM DEKALB AVE ""L"" STOP!! WON'T LAST!!!","$2,200 ",2br -
 (Brooklyn),1/14/2020 8:13,Looking For  A   2 bedroom apt In Bensonhurst,"$1,750 ",
 (🔥Clinton Hill🔥),1/14/2020 8:12,WON'T LAST LONG!!🔥Showing TONIGHT🔥SEE PICS&CALL ME ASAP,"$2,695 ",2br -
 (Bushwick / Ridgewood border),1/14/2020 8:03,SUnShinE& HaPPiness PeRfeCt 1 BED walk to L or M Myrtle/Wyckoff,"$1,675 ","1br -
                    600ft"
 (CANARSIE),1/14/2020 7:02,2 BEDROOM IN CANARSIE*NEWLY RENOVATED,"$1,950 ",2br -
 (EAST NEW YORK),1/14/2020 7:01,BRAND NEW 3 BEDROOM* EAST NEW YORK,"$2,500 ",3br -
 (BROWNSVILLE),1/14/2020 7:01,UNDER-MARKET VALUE APARTMENT CLOSE TO SHOPS AND TRAINS,"$1,800 ",2br -
 (EAST FLATBUSH),1/14/2020 7:01,SPACIOUS*1 BEDROOM * EAST FLATBUSH,"$1,625 ",1br -
 (EAST FLATBUSH),1/14/2020 6:59,UNDER-MARKET VALUE APARTMENT CLOSE TO SHOPS AND TRAINS,"$1,600 ",1br -
 (crown heights),1/14/2020 1:40,Furnished Studio available now,"$1,250 ",
 (Ditmas Park),1/14/2020 1:06,Bright 3 bedroom in elevator building,"$2,495 ",
 (Bushwick),1/13/2020 23:44,Newly Renovated 3 Bed / 2 Bath with Private Deck,"$3,395 ","3br -
                    1100ft"
 (bensonhurst),1/13/2020 23:39,HOUSE+3BDRM1BATH+NOUTIL BRANDNEWHUGELIVINGRM+DININGRMLAYOUTPRIMEWOWNIC,"$2,200 ","3br -
                    1100ft"
 (Prospect Lefferts Gardens /Coney Island),1/13/2020 23:27,*No Fee & 2 Months Free* LUXURY WATER FRONT STUDIO,"$1,970 ",
 (Brooklyn),1/13/2020 23:19,Rent to Own Your New Home,$0 ,
 (Brooklyn),1/13/2020 23:10,Beautiful 2 bed/ 2 bath in the heart of Bushwick,"$4,000 ",2br -
" (Flatbush, Brooklyn)",1/13/2020 22:59,Fully renovated gorgeous apartment available NOW!!,"$1,850 ",
 (Bensonhurst),1/13/2020 22:43,3 Bedroom Bay Parkway,"$2,350 ",
 (Williamsburg),1/13/2020 22:33,"Beautiful Studio, Great Opportunity, Great Price NO FEE","$1,999 ",
 (Bedford-Stuyvesant),1/13/2020 22:32,"Beautiful 3.5bd Private Huge Back Yard, No Fee, Great opportunity!!","$3,440 ","4br -
                    1500ft"
 (Crown Heights),1/13/2020 22:31,"GORGEOUS** 2Bd/1Bth Great Price, Great Location, Great Opportunity!","$2,000 ",2br -
 (Crown Heights),1/13/2020 22:30,"2bd,1bh🍂 Great Location🍂, Great Price🍂Few min from the 3-4 Train","$2,200 ",2br -
 (Brooklyn),1/13/2020 22:28,"Great Location🍂, Great Price🍂, 1Bd,1Bath🍂 ,All Utilities included","$2,195 ",1br -
 (Bedford-Stuyvesant),1/13/2020 22:27,"Great Location🍂, Great Price🍂, 1Bd,1Bath🍂 G Train On Myrtle or J,M","$1,945 ",1br -
 (Stuyvesant Heights),1/13/2020 22:26,"Beautiful Studio+Balcony, Great Opportunity, Great Price NO FEE","$2,361 ",1br -
 (Brooklyn Heights),1/15/2020 10:19,HUGE 1 BEDROOM / 1.5 BATH ON THE 17TH FLOOR WITH SPECTACULAR VIEWS,"$4,485 ",1br -
,1/15/2020 10:13,"CLINTON HILL🔥LARGE 2BR,1BR DUPLEX GARDEN APT,CHEF'S KITCHEN,LAUNDRY","$2,695 ","2br -
                    1300ft"
 (Bushwick),1/15/2020 10:04,~ Bright! + BRAND NEW LUXURY ~2 Beds Bushwick,"$3,200 ","2br -
                    700ft"
 (sunset park),1/15/2020 10:00,🚫 NO FEE 🚫 1BR APT IN SUNSET PARK - slope gowanus greenwood,"$1,800 ",1br -
 (SUNSET PARK),1/15/2020 9:59,🚫 NO FEE 2BR APT IN  SUNSET PARK  - slope greenwood industry city,"$2,100 ",2br -
 (Sheepshead bay / gravesend),1/15/2020 9:39,"NeW HuGE ONE BeD..B,Q,F TRAIN..PRIME LOCALE..SUNNY..DINING ROOM..","$1,700 ",1br -
 (Bushwick),1/15/2020 8:31,"STEPS AWAY FROM DEKALB AVE ""L"" STOP!! WON'T LAST!!!","$2,350 ",2br -
 (🤍🌈 Stuyvesant Heights🌈 🤍),1/15/2020 8:18,🤍Stuyvesant Heights🤍Brand New Stunning 2brs W/Massive Backyard🤍J🚆,"$2,712 ",2br -
 (🌈 💗Clinton Hill🌈 💗),1/15/2020 7:56,Viewing Tonight🌈💗SEE PICS AND CALL ASAP🌈💗WON'T LAST LONG🌈💗,"$2,695 ",2br -
 (🍭 Stuyvesant Heights 🍭),1/15/2020 7:29,Stuyvesant Heights✨BRAND NEW STUNNING 3BRS APT✨Laundry/J🚆CALL ME ASAP,"$2,712 ",3br -
 (Downtown Brooklyn),1/15/2020 6:38,HOYT ST/ WASHER-DRYER / BARCLAY CENTER,"$2,870 ",520ft
 (Crown Heights),1/15/2020 4:23,Heart of Crown Heights Studio,"$1,950 ",
 (Bedstuy),1/15/2020 0:12,2 Bed 1 Bath Bedstuy New Building Be the First No Fee,"$2,575 ",2br -
 (Williamburg),1/15/2020 0:07,Three Bedroom Duplex with Shared Roof &Gym in building,"$4,050 ",3br -
 (Flatbush),1/14/2020 23:26,Spacious Pre-War 1BR,"$1,499 ",1br -
 (Bedstuy),1/14/2020 23:15,Affordable Studio 1 Bath No Fee A C Trains,"$1,827 ",
 (Bushwick@ J Z trains),1/14/2020 22:30,Gorgeous Fully renovated  Duplex 5br 3full ba apartments,"$4,999 ",5br -
 (Greenpoint Brooklyn),1/14/2020 22:29,Greenpoint 1 Flexible 2 bedroom Apt with Water and Manhattan Views,"$3,300 ",2br -
 (Dumbo),1/14/2020 22:27,Tremendous corner 3 bed loft in Dumbo with original exposed beams,"$7,795 ","3br -
                    1707ft"
 (BedStuy),1/14/2020 22:06,1 Bedroom 2 Bath - NEW RENOVATION - NO FEE,"$2,025 ",1br -
 (Brooklyn),1/14/2020 22:04,Brand new 4 bedrooms apartments in Dyker Heights,"$2,600 ","4br -
                    1200ft"
 (Brooklyn),1/14/2020 21:55,"VIDEO: Renovated pre-war 4bdrms 1.5 bath, 2nd flr. brick building","$3,000 ","4br -
                    1200ft"
,1/14/2020 21:37,🔥No Fee 🔥Bushwick🔥New Reno🔥Chefs Kitchen🔥Laundry🔥J/Z and M Tra,"$2,500 ",2br -
,1/14/2020 21:36,🔥No Fee 🔥Prospect Height🔥Massive Room🔥Call/Text 🔥First & Security,"$2,650 ","1br -
                    1000ft"
,1/14/2020 21:35,NO FEE💥 DUPLEX💥ROOFTOP💥A/C TRAINS💥LAUNDERY,"$3,890 ",3br -
 (Bushwick),1/14/2020 21:28,Central Bushwick 3 Bed 2 Bath with Private Roof Deck,"$2,800 ",3br -
 (Bedstuy),1/14/2020 20:39,"BEDSTUY 2 Bed 1.5 Bath Duplex for Rent, NO FEE, Laundry in Bldg","$2,700 ",2br -
 (BEDSTUY),1/14/2020 20:31,"BEDSTUY New 2 Bed 1 Bath Apartment for Rent, NO FEE, Laundry in Bldg","$2,395 ",2br -
 (Prospect Lefferts Gardens),1/14/2020 20:24,"Gorgeous brand new development, Nice 1 bed/1 bath bordering PLG!!","$1,800 ",1br -
 (WILLIAMSBURG),1/14/2020 20:23,"WILLIAMSBURG 2 Bedroom For Rent, Heat + Hot Water Included NO FEE","$2,500 ",2br -
 (Brooklyn),1/14/2020 20:15,"BUSHWICK 2 Bed 1 Bath Apartment For Rent, Heat & Hot Water included","$2,200 ",2br -
 (GREENPOINT),1/14/2020 20:05,GREENPOINT RENOVATED STUDIO APARMTENT FOR RENT LOW FEE,"$2,600 ",
 (Cypress Hills),1/14/2020 19:58,🌈 Renovated Gorgeous Sunny 2BR One Block From JZ Trains  🌈,"$1,800 ",2br -
 (Prospect Heights / Crown Heights),1/14/2020 19:41,Humongous Luxury 3Bed 2Bath W/Laundry - Dishwasher - Off Franklin ave!,"$4,695 ","3br -
                    1200ft"
,1/14/2020 19:28,NYC Apartments: Dumbo 2 Bedroom Apartment for Rent,$0 ,
 (Brooklyn),1/14/2020 19:18,🏡🏡🏡 1.5 Bedroom in a 19th Century church 🏡🏡🏡,"$2,980 ",1br -
 (Bed Stuy),1/14/2020 19:13,2BR with Balcony between Bushwick / Bed Stuy,"$2,200 ","2br -
                    700ft"
 (Bay ridge @ 3rd ave & 68th st),1/14/2020 19:07,Spaciouse 2 bedroom duplex with Massive Basement Space,"$2,500 ",2br -
" (BOERUM HILL, BROOKLYN)",1/14/2020 18:50,NO FEE GGARDEN LANDMARK APT IN BOERUM HILL,"$2,989 ",1br -
 (Williamsburg),1/14/2020 18:41,"🏡🌈Backyard +Only One Block from McCarren Park, Walk to L+G lines🌈🏡","$2,850 ",1br -
 (Weeksville @ Buffalo ave & Michael Griffith st),1/14/2020 18:39,Spacious 3 Bed New Renovation Massive Living Room,"$2,600 ",3br -
 (Flatbush),1/14/2020 18:38,Nice 2 bedrooms in Flatbush,"$1,776 ",2br -
 (Greenpoint),1/14/2020 18:37,3 Bedroom Apt No Fee,"$2,800 ",3br -
 (CLINTON HILL),1/14/2020 18:36,CLINTON HILL TRUE TWO BED ALL UTILITIES INCLUDED A/C/ SUBWAY !!!!!!!!!,"$2,399 ",2br -
" (Bedstuy @Gates J,Z)",1/14/2020 18:28,"Really special 3 BR 1 Bath , Pre war building,","$2,265 ",3br -
 (Bedstuy @ Myrtle-Willoughby G train),1/14/2020 18:25,Cute 1 bed on the boarder of Bedstuy and Clinton Hill! No Fee!,"$1,950 ",1br -
 (Crown Heights @ Nostrand Ave 3 Train Stop),1/14/2020 18:25,Great Deal! Beautiful Spacious Crown Heights 3 Bed No Fee,"$3,250 ",3br -
 (Crown Heights @ Nostrand Ave 3 Train Stop),1/14/2020 18:24,Great Location! Beautiful Modern Crown Heights 4 Bed! No Fee,"$4,100 ",4br -
 (Bedstuy @ Gates J and Z train),1/14/2020 18:24,Beautiful Massive Bedstuy 4 Bed with shared backyard! No fee!,"$3,500 ",4br -
 (Bushwick @ Halsey J),1/14/2020 18:24,Great Price! Spacious Bushwick 3 Bed No Fee,"$2,450 ",3br -
 (Mill Basin @ Mayfair Dr south & Mill ave),1/14/2020 18:23,Large 2 bedroom with Spacious Living room and Private Balcony,"$2,200 ",2br -
 (Williamsburg @ Montrose L train),1/14/2020 18:23,Beautiful Bright Williamsburg 1 Bed w/ Gym and Laundry! No Fee,"$2,940 ",1br -
 (Bushwick @ Gates J and Z trains),1/14/2020 18:22,"Renovated 5 Bed, 3 Floor Bushwick Townhouse w/Backyard + Laundry!","$5,000 ",5br -
 (Bedstuy @ Chauncey J and Z train),1/14/2020 18:22,Amazing Deal! Beautiful Bright Stuyvesant Heights 4 Bed. No Fee!,"$2,700 ",4br -
 (bedstuy @ Utica A and C train stop),1/14/2020 18:21,Great Deal!! Floor through Bedstuy 3 Bed w/Backyard Access! No Fee,"$2,599 ",3br -
 (Gowanus),1/14/2020 18:09,Lease Takeover $500 DISCOUNT- NO FEE - Sunny Studio High-End Amenities,"$2,075 ",
" (Prospect Lefferts Gardens/Flatbush, Central Brooklyn,)",1/14/2020 18:07,Massive sun-filled true 2 bed/1 bath apt pre-war near Prospect Park!,"$2,100 ",2br -
 (Prospect Park South/PLG),1/14/2020 17:59,Prospect Park south - Beautiful 1 Bedroom - H/H included - NO FEE,"$1,850 ",1br -
 (Flatbush @ Nostrand Ave & Farragut Rd),1/14/2020 17:59,"New Renovation 2 Bed  with Open Floor Plan, Priv Balcony","$2,400 ",2br -
 (Flatbush/Bidwood),1/14/2020 17:58,"Beautiful 2 Bedroom - Flatbush/Prospect Park South, Brooklyn - Laundry","$2,025 ",2br -
